symbol,name,price,market_cap,volume_24h,price_change_24h,price_change_7d,rsi,score,reason,timestamp
SEI,Sei,0.221484,1243190419,373946133.0,10.87799,0,62.11753104182958,50,"价格趋势上升信号, 市场走势: 强势上升",20250622_215047
LQTY,Liquity,1.16,112988205,41778666.0,8.39487,0,62.254124846041805,50,"价格趋势上升信号, 市场走势: 强势上升",20250622_215047
ALEO,ALEO,0.215075,88544892,5316247.0,5.31668,0,74.16842192752767,50,"价格趋势上升信号, 市场走势: 强势上升",20250622_215047
FUN,FUNToken,0.00775936,82275734,165482065.0,50.41133,0,82.28335290514065,50,"价格趋势上升信号, 市场走势: 强势上升",20250622_215047
XYO,XYO Network,0.01101112,153565836,20538808.0,16.40852,0,49.81826770872311,50,"价格趋势上升信号, 市场走势: 强势上升",20250622_215047
GT,Gate,16.84,2043132422,5525059.0,2.10644,0,33.074982464970816,45,"价格趋势上升信号, 市场走势: 强势上升",20250622_215047
KAIA,Kaia,0.184663,1081773918,60749408.0,-4.73879,0,74.43750262739721,45,"价格趋势上升信号, 市场走势: 强势上升",20250622_215047
SFP,SafePal,0.502094,251662839,5051417.0,2.47853,0,58.942019382326244,45,"价格趋势上升信号, 市场走势: 强势上升",20250622_215047
T,Threshold Network,0.0165934,168080061,60854630.0,-5.7008,0,58.44395441326108,45,"价格趋势上升信号, 市场走势: 强势上升",20250622_215047
XCN,Onyxcoin,0.01440975,491155098,40256746.0,7.94895,0,45.54272985286054,40,"价格趋势上升信号, 市场走势: 上升趋势",20250622_215047
USELESS,Useless Coin,0.099358,98878453,21680456.0,8.45609,0,87.16983094437846,40,"价格趋势上升信号, 市场走势: 上升趋势",20250622_215047
TRIP,Trip,9.4,277333901,2003.0,-0.03883,0,93.2439822021436,35,"价格趋势上升信号, 市场走势: 上升趋势",20250622_215047
FRXUSD,L2 Standard Bridged frxUSD,0.995975,94619371,361860.0,-0.1569,0,49.662597459474696,35,"价格趋势上升信号, 价格低于价格区间底部",20250622_215047
SBTC,sBTC,106038.0,106038059,15831.54,-3.5365,0,47.74812797153711,35,"价格趋势上升信号, 市场走势: 上升趋势",20250622_215047
BDCA,BitDCA,0.967787,128825713,217031.0,0.19901,0,53.821543518278894,35,"价格趋势上升信号, 市场走势: 上升趋势",20250622_215047
BCH,Bitcoin Cash,474.83,9443205058,238219720.0,-0.82964,0,66.81921319519256,35,"价格趋势上升信号, 市场走势: 上升趋势",20250622_215047
JST,JUST,0.0342444,338950219,43424465.0,1.6579,0,49.88840838738379,35,"价格趋势上升信号, 市场走势: 上升趋势",20250622_215047
AERO,Aerodrome Finance,0.800177,674828755,54503485.0,-5.71004,0,63.74077497168698,35,"价格趋势上升信号, 市场走势: 上升趋势",20250622_215047
FDUSD,First Digital USD,0.995668,1492820235,2863993554.0,-0.07543,0,49.189482021722156,35,"价格趋势上升信号, 价格低于价格区间底部",20250622_215047
MNT,Mantle,0.615568,2079529649,186913220.0,-1.97937,0,38.8717094536593,35,"价格趋势上升信号, 市场走势: 上升趋势",20250622_215047
HNT,Helium,2.3,423475742,8427711.0,-5.05239,0,24.828976650795028,30,"新鲜度指标低估, 价格趋势上升信号",20250622_215047
DLC,Diverge Loop,0.10332,91955527,67149.0,1.04693,0,1.6825007379496952,30,"新鲜度指标低估, 价格趋势上升信号",20250622_215047
LRC,Loopring,0.072947,90963321,6766890.0,-3.72508,0,28.94790196037917,30,"新鲜度指标低估, 价格趋势上升信号",20250622_215047
